City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zapadnaya dvina,56.259,32.0745,18.3,95,99,6.87,RU,1701193201
1,margaret river,-33.95,115.0667,57.85,91,3,3.2,AU,1701192996
2,adamstown,-25.066,-130.1015,73.63,86,99,17.4,PN,1701193202
3,cockburn town,21.4612,-71.1419,80.83,68,6,10.87,TC,1701193032
4,newman,37.3138,-121.0208,56.23,41,21,4.16,US,1701193202
5,bethel,41.3712,-73.414,39.2,54,40,12.66,US,1701193158
6,francisco javier mina,24.4934,-104.4857,53.71,29,0,3.18,MX,1701193203
7,iskateley,67.6803,53.1512,1.02,95,88,11.01,RU,1701193203
8,waitangi,-43.9535,-176.5597,58.82,93,82,5.99,NZ,1701193203
9,udachny,66.4167,112.4,0.01,93,98,20.8,RU,1701193204
10,west island,-12.1568,96.8225,78.78,73,40,11.5,CC,1701193204
11,longyearbyen,78.2186,15.6401,37.24,75,75,11.5,SJ,1701193204
12,omutinskiy,56.4745,67.6709,29.19,79,75,12.91,RU,1701193205
13,iqaluit,63.7506,-68.5145,29.93,92,75,20.71,CA,1701193205
14,bredasdorp,-34.5322,20.0403,62.64,64,24,11.48,ZA,1701193205
15,wailua homesteads,22.0669,-159.378,69.85,85,75,4.61,US,1701193205
16,fort bragg,35.139,-79.006,52.83,34,0,19.57,US,1701193206
17,magumeri,12.1131,12.8274,82.02,19,29,8.59,NG,1701193206
18,chonchi,-42.6128,-73.8092,61.12,58,78,9.73,CL,1701193206
19,sola,-13.8833,167.55,79.48,83,48,18.28,VU,1701193206
20,mournies,35.4764,24.0092,65.82,77,20,0.0,GR,1701193207
21,enewetak,11.3474,162.3373,82.17,77,91,22.68,MH,1701193207
22,afaahiti,-17.75,-149.2833,80.47,85,99,21.88,PF,1701193207
23,qaqortoq,60.7167,-46.0333,19.02,66,100,7.43,GL,1701193207
24,polyarnyy,69.1989,33.4478,28.22,84,91,16.82,RU,1701193133
25,blackmans bay,-43.0167,147.3167,51.93,95,97,6.11,AU,1701193208
26,yanchep,-31.55,115.6833,66.94,85,19,4.5,AU,1701193208
27,bel ombre,-4.6167,55.4167,78.64,89,20,1.14,SC,1701193208
28,kavaratti,10.5669,72.642,83.84,72,93,7.29,IN,1701193208
29,olonkinbyen,70.9221,-8.7187,35.65,75,50,11.25,SJ,1701193208
30,grytviken,-54.2811,-36.5092,34.48,72,8,7.99,GS,1701193209
31,albany,42.6001,-73.9662,35.02,43,73,5.99,US,1701193209
32,derazhnya,49.2692,27.4338,32.41,77,100,15.03,UA,1701193209
33,sao goncalo do sapucai,-21.8922,-45.5953,82.15,60,97,4.38,BR,1701193209
34,andergrove,-21.0833,149.1833,72.64,88,30,11.77,AU,1701193209
35,mirnyy,62.5353,113.9611,-1.77,77,24,8.99,RU,1701193210
36,howrah,22.5892,88.3103,75.2,69,20,0.0,IN,1701193210
37,puerto deseado,-47.7503,-65.8938,69.22,22,2,21.34,AR,1701193210
38,hithadhoo,-0.6,73.0833,82.35,75,100,8.88,MV,1701193210
39,atafu village,-8.5421,-172.5159,81.88,81,100,20.15,TK,1701193211
40,st. john's,47.5649,-52.7093,49.78,96,100,37.98,CA,1701193211
41,saudarkrokur,65.7461,-19.6394,35.51,95,100,4.61,IS,1701193211
42,fort mcmurray,56.7268,-111.381,36.99,64,0,12.66,CA,1701193211
43,purpe,64.4803,76.6897,28.81,98,100,8.08,RU,1701193211
44,morehead city,34.7229,-76.726,48.25,50,0,12.66,US,1701192992
45,prince rupert,54.3161,-130.3201,46.09,100,100,16.11,CA,1701193212
46,las heras,-46.5419,-68.9359,67.32,22,27,39.73,AR,1701193212
47,puerto baquerizo moreno,-0.9,-89.6,83.39,79,75,16.11,EC,1701193212
48,georgetown,5.4112,100.3354,80.53,79,20,4.61,MY,1701193157
49,puerto natales,-51.7236,-72.4875,46.85,81,75,24.16,CL,1701193213
50,weyburn,49.6668,-103.8511,34.02,69,52,14.97,CA,1701193213
51,college,64.8569,-147.8028,19.45,89,40,0.0,US,1701193213
52,aasiaat,68.7098,-52.8699,11.26,79,91,18.41,GL,1701193213
53,aldenhoven,50.9,6.2833,34.16,85,20,4.61,DE,1701193213
54,hermanus,-34.4187,19.2345,62.98,74,32,9.55,ZA,1701193214
55,port-aux-francais,-49.35,70.2167,40.44,98,100,34.81,TF,1701193214
56,trondheim,63.4305,10.3951,23.09,75,100,2.42,NO,1701193214
57,ribeira grande,38.5167,-28.7,66.78,94,75,17.0,PT,1701193214
58,itamaraca,-7.7478,-34.8256,86.05,61,42,10.67,BR,1701193215
59,hamilton,39.1834,-84.5333,28.06,61,100,9.22,US,1701192969
60,teplodar,46.5059,30.3252,46.6,89,98,26.22,UA,1701193215
61,yellowknife,62.456,-114.3525,7.29,90,75,2.3,CA,1701193215
62,lata,40.1629,-8.3327,61.81,93,99,4.16,PT,1701193216
63,richards bay,-28.783,32.0377,79.14,79,82,11.54,ZA,1701193216
64,mary,37.0,62.5,64.74,26,91,23.55,TM,1701193216
65,luco dei marsi,41.957,13.4736,47.88,83,67,3.02,IT,1701193216
66,tarapur,19.85,72.7,75.36,71,0,9.84,IN,1701193217
67,touros,-5.1989,-35.4608,81.79,68,99,13.62,BR,1701193217
68,invercargill,-46.4,168.35,46.02,80,100,5.01,NZ,1701193217
69,bilibino,68.0546,166.4372,-19.28,100,99,2.08,RU,1701193217
70,edinburgh of the seven seas,-37.0676,-12.3116,57.69,81,84,18.86,SH,1701193218
71,yuzhno-kurilsk,44.0306,145.8556,38.37,74,92,23.33,RU,1701193218
72,xinqing,48.2333,129.5,-5.13,97,83,3.91,CN,1701193218
73,ushuaia,-54.8,-68.3,60.46,33,40,9.22,AR,1701193019
74,port alfred,-33.5906,26.891,68.18,83,25,8.99,ZA,1701193218
75,petropavlovsk-kamchatsky,53.0452,158.6483,15.46,86,0,13.42,RU,1701193219
76,al mutayrifi,25.4788,49.5576,73.74,50,5,13.4,SA,1701193219
77,porto novo,6.4965,2.6036,84.02,80,97,7.72,BJ,1701193219
78,waimalu,21.4047,-157.9433,72.01,95,75,5.75,US,1701193220
79,yei,4.095,30.6779,72.34,75,73,1.72,SS,1701193220
80,marka,1.7159,44.7717,80.31,81,72,13.82,SO,1701193220
81,guerrero negro,27.9769,-114.0611,68.79,58,100,2.84,MX,1701193221
82,shimanovsk,52.0,127.7,-4.13,84,93,4.27,RU,1701193221
83,mendoza,-32.8908,-68.8272,87.33,42,40,12.66,AR,1701193221
84,sitka,57.0531,-135.33,39.09,87,75,5.75,US,1701193221
85,saipan,15.1355,145.701,81.3,83,75,12.66,MP,1701193222
86,hobyo,5.3505,48.5268,80.96,73,100,16.46,SO,1701193222
87,isafjordur,66.0755,-23.124,30.24,74,0,0.0,IS,1701193222
